x,y,z
15.366076768,35.041000000,62.085921434
15.368953416,35.108000000,62.105172668
15.371795472,35.175000000,62.124136267
15.374603007,35.242000000,62.142813245
15.377376094,35.309000000,62.161204618
15.380114802,35.376000000,62.179311401
15.382819203,35.443000000,62.197134608
15.385489369,35.510000000,62.214675255
15.388125371,35.577000000,62.231934357
15.390727280,35.644000000,62.248912929
15.393295168,35.711000000,62.265611986
15.395829105,35.778000000,62.282032543
15.398329164,35.845000000,62.298175616
15.400795415,35.912000000,62.314042219
15.403227931,35.979000000,62.329633368
15.405626781,36.046000000,62.344950077
15.407992038,36.113000000,62.359993362
15.410323773,36.180000000,62.374764238
15.412622057,36.247000000,62.389263720
15.414886962,36.314000000,62.403492823
15.417118559,36.381000000,62.417452562
15.419316918,36.448000000,62.431143953
15.421482113,36.515000000,62.444568009
15.423614213,36.582000000,62.457725748
15.425713290,36.649000000,62.470618182
15.427779416,36.716000000,62.483246329
15.429812661,36.783000000,62.495611202
15.431813098,36.850000000,62.507713817
15.433780797,36.917000000,62.519555189
15.435715830,36.984000000,62.531136333
15.437618268,37.051000000,62.542458265
15.439488183,37.118000000,62.553521998
15.441325646,37.185000000,62.564328549
15.443130727,37.252000000,62.574878933
15.444903499,37.319000000,62.585174164
15.446644033,37.386000000,62.595215258
15.448352400,37.453000000,62.605003230
15.450028671,37.520000000,62.614539094
15.451672918,37.587000000,62.623823867
15.453285212,37.654000000,62.632858562
15.454865624,37.721000000,62.641644196
15.456414227,37.788000000,62.650181783
15.457931090,37.855000000,62.658472339
15.459416286,37.922000000,62.666516878
15.460869885,37.989000000,62.674316416
15.462291959,38.056000000,62.681871967
15.463682580,38.123000000,62.689184547
15.465041819,38.190000000,62.696255172
15.466369746,38.257000000,62.703084855
15.467666434,38.324000000,62.709674612
15.468931954,38.391000000,62.716025459
15.470166376,38.458000000,62.722138410
15.471369773,38.525000000,62.728014480
15.472542216,38.592000000,62.733654685
15.473683776,38.659000000,62.739060040
15.474794524,38.726000000,62.744231559
15.475874531,38.793000000,62.749170258
15.476923870,38.860000000,62.753877153
15.477942611,38.927000000,62.758353257
15.478930825,38.994000000,62.762599586
15.479888584,39.061000000,62.766617156
15.480815960,39.128000000,62.770406981
15.481713023,39.195000000,62.773970076
15.482579846,39.262000000,62.777307457
15.483416498,39.329000000,62.780420139
15.484223052,39.396000000,62.783309136
15.484999579,39.463000000,62.785975465
15.485746151,39.530000000,62.788420139
15.486462838,39.597000000,62.790644175
15.487149711,39.664000000,62.792648586
15.487806843,39.731000000,62.794434389
15.488434305,39.798000000,62.796002598
15.489032168,39.865000000,62.797354229
15.489600502,39.932000000,62.798490296
15.490139380,39.999000000,62.799411816
15.490648874,40.066000000,62.800119801
15.491129053,40.133000000,62.800615269
15.491579990,40.200000000,62.800899234
15.492001755,40.267000000,62.800972711
15.492394421,40.334000000,62.800836715
15.492758059,40.401000000,62.800492261
15.493092739,40.468000000,62.799940365
15.493398533,40.535000000,62.799182042
15.493675513,40.602000000,62.798218305
15.493923750,40.669000000,62.797050172
15.494143314,40.736000000,62.795678657
15.494334279,40.803000000,62.794104774
15.494496714,40.870000000,62.792329540
15.494630691,40.937000000,62.790353968
15.494736282,41.004000000,62.788179075
15.494813557,41.071000000,62.785805875
15.494862589,41.138000000,62.783235384
15.494883448,41.205000000,62.780468616
15.494876205,41.272000000,62.777506587
15.494840933,41.339000000,62.774350311
15.494777702,41.406000000,62.771000805
15.494686584,41.473000000,62.767459082
15.494567651,41.540000000,62.763726159
15.494420972,41.607000000,62.759803049
15.494246620,41.674000000,62.755690769
15.494044667,41.741000000,62.751390333
15.493815182,41.808000000,62.746902757
15.493558239,41.875000000,62.742229055
15.493273907,41.942000000,62.737370243
15.492962259,42.009000000,62.732327336
15.492623365,42.076000000,62.727101349
15.492257298,42.143000000,62.721693296
15.491864128,42.210000000,62.716104194
15.491443926,42.277000000,62.710335057
15.490996765,42.344000000,62.704386900
15.490522714,42.411000000,62.698260738
15.490021847,42.478000000,62.691957587
15.489494233,42.545000000,62.685478462
15.488939945,42.612000000,62.678824377
15.488359054,42.679000000,62.671996348
15.487751630,42.746000000,62.664995390
15.487117746,42.813000000,62.657822518
15.486457472,42.880000000,62.650478747
15.485770880,42.947000000,62.642965093
15.485058042,43.014000000,62.635282569
15.484319028,43.081000000,62.627432192
15.483553910,43.148000000,62.619414977
15.482762760,43.215000000,62.611231938
15.481945648,43.282000000,62.602884091
15.481102646,43.349000000,62.594372451
15.480233825,43.416000000,62.585698032
15.479339256,43.483000000,62.576861851
15.478419012,43.550000000,62.567864922
15.477473163,43.617000000,62.558708260
15.476501780,43.684000000,62.549392880
15.475504935,43.751000000,62.539919798
15.474482700,43.818000000,62.530290028
15.473435145,43.885000000,62.520504586
15.472362342,43.952000000,62.510564487
15.471264362,44.019000000,62.500470746
15.470141276,44.086000000,62.490224377
15.468993157,44.153000000,62.479826397
15.467820074,44.220000000,62.469277820
15.466622100,44.287000000,62.458579661
15.465399306,44.354000000,62.447732935
15.464151763,44.421000000,62.436738658
15.462879543,44.488000000,62.425597845
15.461582716,44.555000000,62.414311510
15.460261355,44.622000000,62.402880669
15.458915530,44.689000000,62.391306336
15.457545312,44.756000000,62.379589528
15.456150774,44.823000000,62.367731259
15.454731987,44.890000000,62.355732544
15.453289021,44.957000000,62.343594398
15.451821948,45.024000000,62.331317837
15.450330840,45.091000000,62.318903875
15.448815767,45.158000000,62.306353528
15.447276801,45.225000000,62.293667810
