x,y,z
-14.965784815,19.296000000,43.853239853
-14.967735332,19.363000000,43.884088809
-14.969877909,19.430000000,43.916044919
-14.972211124,19.497000000,43.949120062
-14.974733551,19.564000000,43.983323226
-14.977443769,19.631000000,44.018660559
-14.980340352,19.698000000,44.055135418
-14.983421878,19.765000000,44.092748427
-14.986686922,19.832000000,44.131497532
-14.990134061,19.899000000,44.171378065
-14.993761871,19.966000000,44.212382809
-14.997568930,20.033000000,44.254502065
-15.001553812,20.100000000,44.297723725
-15.005715094,20.167000000,44.342033346
-15.010051353,20.234000000,44.387414226
-15.014561166,20.301000000,44.433847481
-15.019243107,20.368000000,44.481312132
-15.024095755,20.435000000,44.529785180
-15.029117684,20.502000000,44.579241698
-15.034307472,20.569000000,44.629654916
-15.039663695,20.636000000,44.680996306
-15.045184928,20.703000000,44.733235676
-15.050869750,20.770000000,44.786341256
-15.056716735,20.837000000,44.840279795
-15.062724460,20.904000000,44.895016647
-15.068891501,20.971000000,44.950515868
-15.075216436,21.038000000,45.006740309
-15.081697840,21.105000000,45.063651705
-15.088334289,21.172000000,45.121210774
-15.095124360,21.239000000,45.179377306
-15.102066629,21.306000000,45.238110256
-15.109159673,21.373000000,45.297367837
-15.116402068,21.440000000,45.357107612
-15.123792390,21.507000000,45.417286583
-15.131329216,21.574000000,45.477861279
-15.139011121,21.641000000,45.538787849
